Rating,Days
5.0,735259.0
5.0,731193.0
5.0,735950.0
5.0,731516.0
3.0,731191.0
4.0,732665.0
5.0,731193.0
5.0,731193.0
5.0,734132.0
5.0,731189.0
5.0,735574.0
3.0,731182.0
4.0,731975.0
5.0,733081.0
5.0,734536.0
4.0,731189.0
4.0,731191.0
5.0,735981.0
5.0,733450.0
5.0,732707.0
4.0,735519.0
5.0,732301.0
5.0,733745.0
5.0,735994.0
5.0,735488.0
5.0,732667.0
5.0,735253.0
4.0,733786.0
5.0,735557.0
5.0,731145.0
5.0,735967.0
5.0,733825.0
5.0,735147.0
4.0,733419.0
4.0,732677.0
5.0,735930.0
5.0,736276.0
5.0,736264.0
5.0,735982.0
5.0,735891.0
5.0,734160.0
2.0,735916.0
5.0,731195.0
5.0,735858.0
5.0,736240.0
